op name, kernel name, exec duration (ms), global size, local size, output size
cache_k_l2 (view),kernel_set_rows_f16_i64,0.002900,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l2 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
node_95,flash_attn_blk_f16,0.006800,8x1x1,0x0x0,128x16x2x1
node_95,flash_attn_f32_f16,0.061900,128x16x0,128x1x0,128x16x2x1
node_97,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,2048x2x1x1
node_97,kernel_gemm_noshuffle_q4_0_f32,0.337200,1x512x1,1x128x1,2048x2x1x1
ffn_inp-2,kernel_add,0.013100,128x1x1,64x1x1,2048x2x1x1
ffn_norm-2,kernel_rms_norm_mul,0.005800,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-2,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,6144x2x1x1
ffn_gate-2,kernel_gemm_noshuffle_q4_0_f32,0.333000,1x1536x1,1x128x1,6144x2x1x1
ffn_up-2,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,6144x2x1x1
ffn_up-2,kernel_gemm_noshuffle_q4_0_f32,0.335600,1x1536x1,1x128x1,6144x2x1x1
ffn_swiglu-2,kernel_swiglu,0.007000,1024x1x1,512x1x1,6144x2x1x1
ffn_out-2,kernel_transpose_32_16,0.010300,1536x2x0,1x16x0,2048x2x1x1
ffn_out-2,kernel_gemm_noshuffle_q4_1_f32,1.175300,1x512x1,1x128x1,2048x2x1x1
l_out-2,kernel_add,0.013800,128x1x1,64x1x1,2048x2x1x1
attn_norm-3,kernel_rms_norm_mul,0.005700,2048x1x1,1024x1x1,2048x2x1x1
Qcur-3,kernel_transpose_32_16,0.004800,512x2x0,1x16x0,2048x2x1x1
Qcur-3,kernel_gemm_noshuffle_q4_0_f32,0.341600,1x512x1,1x128x1,2048x2x1x1
Qcur_normed-3,kernel_rms_norm_mul,0.004100,2048x2x1,128x1x1,128x16x2x1
Qcur-3,kernel_rope_neox_f32,0.003500,1024x2x1,64x1x1,128x16x2x1
Vcur-3,kernel_transpose_32_16,0.004900,512x2x0,1x16x0,1024x2x1x1
Vcur-3,kernel_gemm_noshuffle_q4_0_f32,0.330000,1x256x1,1x128x1,1024x2x1x1
Kcur-3,kernel_transpose_32_16,0.005100,512x2x0,1x16x0,1024x2x1x1
Kcur-3,kernel_gemm_noshuffle_q4_0_f32,0.323700,1x256x1,1x128x1,1024x2x1x1
Kcur_normed-3,kernel_rms_norm_mul,0.004000,1024x2x1,128x1x1,128x8x2x1
Kcur-3,kernel_rope_neox_f32,0.002600,512x2x1,64x1x1,128x8x2x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
cache_v_l3 (view),kernel_set_rows_f16_i64,0.002800,2048x1x1,1024x1x1,1024x40192x1x1
node_130,flash_attn_blk_f16,0.007100,8x1x1,0x0x0,128x16x2x1
node_130,flash_attn_f32_f16,0.061800,128x16x0,128x1x0,128x16x2x1
node_132,kernel_transpose_32_16,0.005200,512x2x0,1x16x0,2048x2x1x1
node_132,kernel_gemm_noshuffle_q4_0_f32,0.328100,1x512x1,1x128x1,2048x2x1x1
ffn_inp-3,kernel_add,0.013000,128x1x1,64x1x1,2048x2x1x1
ffn_norm-3,kernel_rms_norm_mul,0.005300,2048x1x1,1024x1x1,2048x2x1x1
ffn_gate-3,kernel_transpose_32_16,0.004700,512x2x0,1x16x0,6144x2x1x1
ffn_gate-3,kernel_gemm_noshuffle_q4_0_f32,0.342400,1x1536x1,1x128x1,6144x2x1x1
ffn_up-3,kernel_transpose_32_16,0.005000,512x2x0,1x16x0,6144x2x1x1
