op name, kernel name, exec duration (ms), t_since_start_ms, tensor_bytes, rss_kb, global size, local size, output size
Qcur-25,RESHAPE,0.000312,1331.136041,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
norm-25,RMS_NORM,0.081927,1331.221823,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur_normed-25,MUL,0.001719,1331.228229,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-25,ROPE,0.002187,1331.234166,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Vcur-25,MUL_MAT,0.032552,1331.270312,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Vcur-25,RESHAPE,0.000313,1331.274844,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-25,MUL_MAT,0.110782,1331.389323,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Kcur-25,RESHAPE,0.000469,1331.394427,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
norm-25,RMS_NORM,0.080573,1331.478594,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur_normed-25,MUL,0.001458,1331.484583,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-25,ROPE,0.001667,1331.489948,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-25 (view),VIEW,0.000313,1331.493854,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_k_l25 (view),SET_ROWS,0.038750,1331.536302,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-25 (view),VIEW,0.000469,1331.541146,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_v_l25 (view),SET_ROWS,0.014896,1331.559844,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-25 (view),VIEW,0.000469,1331.564479,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-25 (view) (permuted),PERMUTE,0.014271,1331.582500,8192,5698600,128x1x16x1,0x0x0,128x1x16x1
cache_k_l25 (view),VIEW,0.000469,1331.590208,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l25 (view) (permuted),PERMUTE,0.014895,1331.609114,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l25 (view),VIEW,0.000313,1331.613802,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l25 (view) (permuted),PERMUTE,0.011406,1331.628906,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_900,FLASH_ATTN_EXT,0.045469,1331.678750,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-25,RESHAPE,0.000313,1331.683177,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_902,MUL_MAT,0.143646,1331.830469,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-25,ADD,0.001458,1331.836927,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-25,RMS_NORM,0.003229,1331.843906,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_norm-25,MUL,0.001406,1331.849010,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-25,MUL_MAT,0.158385,1332.010989,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-25,MUL_MAT,0.158541,1332.174010,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-25,GLU,0.004167,1332.182604,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_out-25,MUL_MAT,0.161407,1332.348073,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
l_out-25,ADD,0.001354,1332.353802,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-26,RMS_NORM,0.003333,1332.360729,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
attn_norm-26,MUL,0.001719,1332.366094,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-26,MUL_MAT,0.059219,1332.428906,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-26,RESHAPE,0.000313,1332.433698,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
norm-26,RMS_NORM,0.083021,1332.520677,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur_normed-26,MUL,0.001719,1332.526979,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-26,ROPE,0.001928,1332.532969,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Vcur-26,MUL_MAT,0.068802,1332.605364,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Vcur-26,RESHAPE,0.000312,1332.610208,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-26,MUL_MAT,0.587760,1333.201666,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
Kcur-26,RESHAPE,0.000469,1333.207031,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
norm-26,RMS_NORM,0.176615,1333.387396,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur_normed-26,MUL,0.068229,1333.460208,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-26,ROPE,0.002240,1333.466302,4096,5698600,128x8x1x1,0x0x0,128x8x1x1
Kcur-26 (view),VIEW,0.000468,1333.470364,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_k_l26 (view),SET_ROWS,0.059011,1333.533073,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Vcur-26 (view),VIEW,0.000312,1333.537916,4096,5698600,1024x1x1x1,0x0x0,1024x1x1x1
cache_v_l26 (view),SET_ROWS,0.016666,1333.558437,83886080,5698600,1024x40960x1x1,0x0x0,1024x40960x1x1
Qcur-26 (view),VIEW,0.000313,1333.563125,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
Qcur-26 (view) (permuted),PERMUTE,0.013698,1333.580625,8192,5698600,128x1x16x1,0x0x0,128x1x16x1
cache_k_l26 (view),VIEW,0.000468,1333.585416,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_k_l26 (view) (permuted),PERMUTE,0.016718,1333.606041,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
cache_v_l26 (view),VIEW,0.000416,1333.610885,524288,5698600,128x8x256x1,0x0x0,128x8x256x1
cache_v_l26 (view) (permuted),PERMUTE,0.016511,1333.631250,524288,5698600,128x256x8x1,0x0x0,128x256x8x1
node_935,FLASH_ATTN_EXT,0.221927,1333.857448,8192,5698600,128x16x1x1,0x0x0,128x16x1x1
kqv_out-26,RESHAPE,0.000312,1333.862031,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
node_937,MUL_MAT,0.158073,1334.023698,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_inp-26,ADD,0.001563,1334.029948,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-26,RMS_NORM,0.003177,1334.036875,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_norm-26,MUL,0.001406,1334.041927,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
ffn_gate-26,MUL_MAT,0.158489,1334.204010,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_up-26,MUL_MAT,0.158854,1334.367239,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_swiglu-26,GLU,0.004375,1334.375989,24576,5698600,6144x1x1x1,0x0x0,6144x1x1x1
ffn_out-26,MUL_MAT,0.172083,1334.552239,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
l_out-26,ADD,0.001302,1334.561146,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
norm-27,RMS_NORM,0.003385,1334.568437,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
attn_norm-27,MUL,0.001615,1334.573698,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
Qcur-27,MUL_MAT,0.059219,1334.636458,8192,5698600,2048x1x1x1,0x0x0,2048x1x1x1
